Park Name,City,Zip Code,City Cast Rating,Park Management,Location,Bathrooms,Pool,Pond,Grills,Pavillion,Gardens,Baseball Diamond,Softball Diamond,Toddler Friendly Play Area,Kid Play Area,Off Leash Dog Area,Water Fountain,Splash Pad,Skate Park,Basketball Court,Disc Golf,Beach Volleyball Court,Volleyball Court,Soccer Field,River or Stream,Tennis Courts,Pickleball Courts,Fitness Area,latitude,longitude,Additional Notes,Futsal Court,Lighting After Dark,Picnic Tables
Fitt’s Park,South Salt Lake,84106,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.704269820000036,-111.87697135399998",Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.704269820000036,-111.87697135399998,"Instruments on the playground. So lovely that it’s riverside. Four different pavilions, two playgrounds. This park was designed for families, 100%. Not sure what the track is for but maybe bike safety training or driver training? Really charming.",No,Yes,Yes
Flat Iron Mesa Park,Sandy,84093,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.59683097100003,-111.841231903",Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,40.59683097100003,-111.841231903,Multiple big fields for play. A zipline. One mile jogging path with views! Soccer fields without nets but with lines and boxes. Multi level because you have to climb THE STEEPEST SLEDDING HILL IN THE U.S. (allegedly) to get to the upper area. You can also,No,Yes,Yes
Foothills Park,Riverton,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.49925122800005,-112.01224768099996",No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.49925122800005,-112.01224768099996,Massive field for play.,No,No,No
Fort Union Plaza,Midvale,84047,1,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.619524496000054,-111.85685607199997",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.619524496000054,-111.85685607199997,"This area is mostly grass around a historic marker and flag poles. While there is a small creek running through it, it was already dry when we visited in April. Unsure if it really gets water or is only decorative. ",No,Yes,No
Fortuna Park ,Millcreek,84124,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.670399916000065,-111.79669809899997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,40.670399916000065,-111.79669809899997,Great set of stairs to run up and down as a workout! Currently raising money for a new playground — can we help them find a sponsor? ,No,No,Yes
Founders’ Park,South Jordan,84009,5,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.54400786800005,-111.99966064299997",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,40.54400786800005,-111.99966064299997,"Climb the mound for a sunset lookout spot. There is a splash pad here, but it’s only for residents.",No,Yes,Yes
Fox Hollow Park,West Jordan,84081,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.604010506000066,-112.03772241599995",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.604010506000066,-112.03772241599995,,No,No,Yes
Freeman Park,Herriman,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.509063447000074,-112.03078406599997",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.509063447000074,-112.03078406599997,,No,No,Yes
Friendship Park,Murray,84107,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.64668384200007,-111.87872726099994",Mysteriously locked,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,40.64668384200007,-111.87872726099994,A big fan of the shady swingset here. And that there is a half diamond where you could play baseball or kickball! No bases provided though.,No,Yes,Yes
Galena Hills Park,Draper,84020,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.523349850000045,-111.90797209399994",Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,40.523349850000045,-111.90797209399994,"There is also a horseshoe pit. There is a way to set up a makeshift pickleball court on one of the basketball courts. This is a huge sports complex and the playground works for keeping the little kids busy while you watch a game, but it's not a destinatio",No,Yes,Yes
Gallacher Park,Salt Lake City,84102,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.75486166700006,-111.87541440499996",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.75486166700006,-111.87541440499996,"Never met a pocket park I didn’t love. No basketball court here, BUT someone did set up a hoop at the park, because this quiet street is a total play zone. ",No,Yes,Yes
Garden Corner Park,South Jordan,84009,4,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.549253073000045,-111.99125293099996",No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.549253073000045,-111.99125293099996,,No,No,No
Gary C. Swensen Valley Regional Park,Taylorsville,84129,5,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.65908742400006,-111.95797179099998",Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,40.65908742400006,-111.95797179099998,I’m giving this a 5 just for the shady tree grove picnic areas. 4 softball fields! Lots of field space for play and a large walking trail. Full disc golf course!,No,No,Yes
Gateway Park,South Jordan,84095,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.55907688800005,-111.90238426599996",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.55907688800005,-111.90238426599996,A little patch of green space in a very surprising place ,No,No,No
General Holm Park,South Salt Lake,84119,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.68742701700006,-111.92071144499994",Mysteriously locked,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.68742701700006,-111.92071144499994,"Provide access to Jordan River Parkway including Millcreek City's new put ins. Access to a bridge over the Meadowbrook Expressway  (3900/4000 South.) Bathrooms locked  because of ""continued vandalism.""",No,Yes,Yes
Germania Park,Murray,84123,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.65751899300005,-111.91844874499998",Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,40.65751899300005,-111.91844874499998,BYO volleyball net! Really cute Joran River park with views and a new playground that has animal sounds play.,No,Yes,Yes
Gilgal Sculpture Garden,Salt Lake City,84102,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.75854025700005,-111.86965372499998",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.75854025700005,-111.86965372499998,One of Salt Lake’s most bizarre attractions — I always bring visitors here. Finding it is half the fun. Learn more about Thomas Child and his zealotry-inspired sculptures while you’re there. Can’t rub the Joseph Smith Sphinx on the head anymore for good l,No,Yes,No
GK Gilbert Geologic View Park,Granite,84092,2,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.574880250000035,-111.79744263999999",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.574880250000035,-111.79744263999999,Cute knoll to watch the paragliders and evening traffic.,No,No,No
Glendale Park,Salt Lake City,84104,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.73344404200003,-111.92694006199997",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,40.73344404200003,-111.92694006199997,"Currently getting a $23 million makeover. Phase I is complete, more amenities to come in Phase II.",No,Yes,Yes
Glenmoor Field,South Jordan,84009,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.57763025100007,-112.00089398499995",Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.57763025100007,-112.00089398499995,"Really charmed by this neighborhood baseball field, wish the bathrooms were open year-round instead of May-Sept.",No,No,No
Glenn Weaver Park,West Valley City,84120,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.67052928000004,-112.04288966399997",No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.67052928000004,-112.04288966399997,Really lovely platformed picnic area ,No,Yes,Yes
Golden Hills Park,Cottonwood Heights,84121,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.60071124600006,-111.79672483699994",Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,40.60071124600006,-111.79672483699994,Really lovely walking path. Lots of trash and recycle bins. Good trees for hammocking. Lots of grass for play. Dog poop bags provided. Benches.,No,No,Yes
Grand Trotter Park,Herriman,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50495387400008,-112.03936848399997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.50495387400008,-112.03936848399997,Brand new playground being unboxed at this moment!,No,No,No
Grand Vistas Park,West Valley City,84128,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.67055732400007,-112.03434802899994",No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,40.67055732400007,-112.03434802899994,"What a great neighborhood park! Impressed with all they squeezed into this little plot. Branded cornhole, table tennis, a zip line and so much more! ",No,Yes,Yes
Grandpa’s Pond,Sandy,84095,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.574720471000035,-111.91640630299997",Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.574720471000035,-111.91640630299997,The Sandy City Urban Fishery! A stocked pond with a fish washing and gutting station.,No,Yes,Yes
Granite Park,Sandy,84092,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.56954927400005,-111.81479916399996",Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,40.56954927400005,-111.81479916399996,BYO volleyball net. Gorgeous views! Tons of large field space for sports and picnics.,No,No,Yes
Grant Park,Murray,84107,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.63655057700004,-111.89204040099997",Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.63655057700004,-111.89204040099997,4 baseball diamonds! ,No,No,Yes
Green Clover ,Draper,84020,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.51197825300005,-111.90316454899994",No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.51197825300005,-111.90316454899994,There are a lot of grassy areas where you could play yard games. Not sure if it's technically the same park but there is another playground area across the street that is made more for toddlers. ,No,No,Yes
Grizzly Park ,West Jordan,84081,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.614016065000044,-112.01269904999998",No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.614016065000044,-112.01269904999998,,No,No,Yes
Guadalupe Park,Salt Lake City,84116,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.78015166600005,-111.90861692399994",No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,40.78015166600005,-111.90861692399994,"Wheelchair-accessible chessboard picnic tables! A long slide! Picnic grass! Play basketball with la Virgen de Guadalupe. This park is breezy, charming, and fun. Perfection.",No,No,Yes
Hamilton Farms Park,Herriman,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50059586400005,-112.04614612999995",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.50059586400005,-112.04614612999995,So many mini sledding hills,No,No,Yes
Hamilton Farms Tot Lot ,Herriman,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50121752900003,-112.05216217199995",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.50121752900003,-112.05216217199995,,No,No,Yes
Handcart Park,West Jordan,84084,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.630992279000054,-111.96200577999997",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.630992279000054,-111.96200577999997,"Such a beautiful breeze in this little park, and so many chatty birds.",No,No,Yes
Harmony Park,South Salt Lake,84115,5,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.68890138000006,-111.89119698499997",Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,40.68890138000006,-111.89119698499997,Built in slackline!,No,Yes,Yes
Harvest Estates Park,West Jordan,84084,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.62727877100008,-111.94985928899996",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.62727877100008,-111.94985928899996,,No,No,Yes
Heights Park,South Jordan,84009,4,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.55753012000008,-112.00921431599994",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.55753012000008,-112.00921431599994,"Take the stairs to the top of the mound for sunset, or run them to make a park workout! Managed by the Daybreak HOA.",No,No,Yes
Henderson Memorial,West Jordan,84088,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.60546436100003,-111.98276004499996",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.60546436100003,-111.98276004499996,,No,No,Yes
Heritage Farm Park,Riverton,84065,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52845529000007,-111.96048617199995",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.52845529000007,-111.96048617199995,,No,No,No
Heritage Park,South Jordan,84095,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.55425400400003,-111.938732115",Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,40.55425400400003,-111.938732115,Fun splash pad with a shallow area for the super littles,No,Yes,Yes
Heritage Place Park,Herriman,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.522617127000046,-112.03307432099996",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.522617127000046,-112.03307432099996,,No,Yes,Yes
Herman Franks Park,Salt Lake City,84105,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.740290178000066,-111.87098022899994",Mysteriously locked,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,40.740290178000066,-111.87098022899994,Cute dog park with agility toys. Water fountain for pups but not people.,No,No,No
Hidden Hollow Preserve,Salt Lake City,84106,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.725474260000055,-111.85513527299997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.725474260000055,-111.85513527299997,"The old Sugar House park, now tucked inside a big box store shopping area. A cute little nature trail loop with bridges and a small amphitheater, winding along Parley’s Creek. Come on. I love how they made use of the space in an otherwise pavementy area.",No,Yes,No
Hidden Valley Park,Sandy,84092,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.543624933000046,-111.81170489299996",Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.543624933000046,-111.81170489299996,Really charming and shady picnic areas nestled right up against the mountains.,No,No,Yes
Hidden Village Park,Murray,84123,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.654013199000076,-111.90501160399998",Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,40.654013199000076,-111.90501160399998,Tennis court practice wall. Lovely shady picnic area.,No,No,Yes
High Point Park,Sandy,84094,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.607483788000025,-111.86252382099997",Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,40.607483788000025,-111.86252382099997,"Big field for play, but no nets or lines. Likewise, a baseball/kickball diamond without bases.",No,No,Yes
High Pointe Park,South Jordan,84095,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.552992661000076,-111.98025863999999",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.552992661000076,-111.98025863999999,Great bike park ,No,No,Yes
Highland Park ,South Jordan,84009,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.545958866000035,-112.03603358799995",Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,40.545958866000035,-112.03603358799995,Huge slides! And beautiful views. ,No,Yes,Yes
Hillcrest Park,Salt Lake City,84106,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.71593652700005,-111.83402825899998",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.71593652700005,-111.83402825899998,A grassy area off of Parley’s Trail,No,No,No
Hillsdale Park,West Valley City,84119,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.70073842100004,-111.96572243799994",Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,40.70073842100004,-111.96572243799994,Park could use some TLC. It’s a little rundown overall. There is a large open field and horseshoe court. There is a Wasatch Community Garden site here. ,No,No,Yes
Hillside Park,South Jordan,84095,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.54517751000003,-111.99461177899997",No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.54517751000003,-111.99461177899997,Charming stepped stream and row of trees separating the playground from a play field.,No,No,Yes
Historic Scott School,South Salt Lake,84106,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.700421694000056,-111.87579571299995",Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.700421694000056,-111.87579571299995,"This is a funny one. It’s a historic building with some lovely shaded picnic tables, but I’m not sure I would call it a park.",No,No,Yes
Holladay City Park,Holladay,84117,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.67130319200004,-111.82461332199995",Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,40.67130319200004,-111.82461332199995,"Really charming setup behind the baseball field, with bench swings and misters. Moreover, the bench swings don’t have the dividers in the middle so you can’t lay down. No hostile architecture here.",No,No,Yes
Holt Farmstead Park,South Jordan,84095,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.56341495100003,-111.92903836299996",Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.56341495100003,-111.92903836299996,"A historic farm turned park with beautiful willows, a fire pit, hitching post and a great climbing tree! ",No,No,Yes
Homestead Park,Riverton,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.501736581000046,-111.94833663899999",No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.501736581000046,-111.94833663899999,Cute neighborhood picnic and play spot.,No,No,Yes
Honeybee Park,Draper,84020,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.540141032000065,-111.88751954799994",No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.540141032000065,-111.88751954799994,,No,No,Yes
Hunter Park,West Valley City,84128,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.69648357900007,-112.03213910899996",Mysteriously locked,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,40.69648357900007,-112.03213910899996,"Getting a bump for the beautiful (!) picnic areas under big, shady trees, and the big hill to play on. The bathroom and water fountains need repair. ",No,Yes,Yes
Hunter Ridge Park,West Valley City,84128,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.67580508700007,-112.02722450099998",No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.67580508700007,-112.02722450099998,Love a hilly little park.,No,Yes,Yes
Hunter Village Park,West Valley City,84128,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.701964435000036,-112.05845900399999",No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,40.701964435000036,-112.05845900399999,BYO Volleyball net. Cute neighborhood park with a lovely pathway and new playground! ,No,Yes,Yes
Ida M. Cotten Park,Salt Lake City,84115,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.73079360500003,-111.88239565999999",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.73079360500003,-111.88239565999999,"This park was selected for SLC Parks Bond updates, though I’m curious what has been identified here. Because it’s so charming! And I love the little grassy knoll. Maybe getting rid of the aluminum slides that get too hot in the summer?

Take this survey t",No,Yes,No
Imperial Park,Salt Lake City,84106,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.70953202900006,-111.84640492599999",No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.70953202900006,-111.84640492599999,A giant sandbox with Tonka trucks!,No,Yes,Yes
Impressions Park,Kearns,84118,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.63884733000003,-112.01919717599998",No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.63884733000003,-112.01919717599998,,No,No,No
Inauguration Park,Draper,84020,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.53666684500007,-111.89957135799995",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.53666684500007,-111.89957135799995,There is a a grassy area where you could play yard games. ,No,No,Yes
Independence Park,Bluffdale,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.47433304200007,-111.91934641599994",Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,40.47433304200007,-111.91934641599994,Pickleball courts are a little down the street. Needs more shade. Great splashpad! Zip lines!!,No,Yes,Yes
Indian Pony Park,Herriman,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50708855200003,-112.03826444099997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.50708855200003,-112.03826444099997,Looks like a new playground is going in here soon! ,No,No,No
Inglewood Park,Salt Lake City,84105,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.74356914300006,-111.86106773199998",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.74356914300006,-111.86106773199998,Cute park right on the McClelland Trail. First true sandbox I’ve seen!,No,No,No
Ironwood Park,West Valley City,84120,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.67129763400004,-112.01222520999994",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.67129763400004,-112.01222520999994,,No,Yes,Yes
Ivie Farms Park,Herriman,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.498176940000064,-112.05440053999996",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.498176940000064,-112.05440053999996,,No,No,No
Ivory Crossing Park,South Jordan,84095,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.54822797400004,-111.96684484099995",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.54822797400004,-111.96684484099995,,No,No,Yes
J. Lynn Crane Park,Herriman,84096,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.51650430700005,-112.01759684599995",Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.51650430700005,-112.01759684599995,"The park at City Hall has a roller skating rink, tons of great picnic spots, including a gazebo with tables and chairs, and will be a dime when all these trees mature. Fun playground, too!",No,Yes,Yes
Jackson Downs Detention Basin Park,South Jordan,84095,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.54098012500003,-111.95645173199995",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.54098012500003,-111.95645173199995,Just some grass! Invitation to add a park bench :),No,No,No
Jackson Park,Salt Lake City,84116,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.77977258400006,-111.91261951899997",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.77977258400006,-111.91261951899997,"Grass for play, colorful trellises (let’s get some ivy on them!)",No,No,Yes
Jefferson Park,Salt Lake City,84101,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.744716261000065,-111.89429399799997",No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,40.744716261000065,-111.89429399799997,Big field for play or running dogs! ,No,No,No
Jenson Farm Park,Draper,84020,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.535894366000036,-111.90658462199997",Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.535894366000036,-111.90658462199997,"Cuteeee little park with a windmill, meandering stream, and even a cow to climb. ",No,No,Yes
Jordan Heights Park,South Jordan,84009,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.54690100300007,-111.98601304099998",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.54690100300007,-111.98601304099998,,No,No,Yes
Jordan Meadows,West Jordan,84084,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.61429779400004,-111.95008508199999",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,40.61429779400004,-111.95008508199999,,No,Yes,Yes
Jordan Park,Salt Lake City,84104,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.746255262000034,-111.91689088799995",Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,40.746255262000034,-111.91689088799995,"Bike polo courts! Home to the treasured International Peace Gardens, which are also getting some love from the $85 million parks bond! This park secured my belief that every park should have at least a few double-wide picnic tables. BYO volleyball net.",No,Yes,Yes
Jordan Ridge Park,South Jordan,84095,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.57796735200003,-111.95041409099997",Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,40.57796735200003,-111.95041409099997,"An oasis! First best feature is the uninterrupted views, second is the .5 mile walking path around it",No,No,Yes
Jordan River Rotary Park,Draper,84020,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52687551200006,-111.86515578399997",Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,40.52687551200006,-111.86515578399997,This park is at a trailhead to the Jordan River Parkway trail where you can see a lot of different birds and willdlife. The park provides easy access to an equestrian trail and a river boat launch. The picnic tables are shaded.,No,No,Yes
