Park Name,City,Zip Code,City Cast Rating,Park Management,Location,Bathrooms,Pool,Pond,Grills,Pavillion,Gardens,Baseball Diamond,Softball Diamond,Toddler Friendly Play Area,Kid Play Area,Off Leash Dog Area,Water Fountain,Splash Pad,Skate Park,Basketball Court,Disc Golf,Beach Volleyball Court,Volleyball Court,Soccer Field,River or Stream,Tennis Courts,Pickleball Courts,Fitness Area,latitude,longitude,Additional Notes,Futsal Court,Lighting After Dark,Picnic Tables
Beargrass Park,West Jordan,84081,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.62909704600003,-112.01271603199996",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.62909704600003,-112.01271603199996,,No,Yes,Yes
Beatrice Evans Park,Salt Lake City,84105,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.74895766600008,-111.85452064799995",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.74895766600008,-111.85452064799995,"Kudos for making the most of this little median, adding park benches and charm.",No,No,No
Beckstead Park,South Jordan,84095,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.556555193000065,-111.93673159399998",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.556555193000065,-111.93673159399998,,No,No,No
Bell Canyon Park,Sandy,84092,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.54364790300008,-111.84388027699998",Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,40.54364790300008,-111.84388027699998,The rare shaded tennis court! 2 big make-what-you-want-of-them fields.,No,No,Yes
Bellevue Park,Draper,84020,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.510899272000074,-111.87119027099999",Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.510899272000074,-111.87119027099999,,No,No,Yes
Bend in the River ,Salt Lake City,84104,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.74410694300008,-111.92112897799996",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.74410694300008,-111.92112897799996,Little nook along the Jordan River with an urban treehouse and pirate ship-esque bridge.,No,No,No
Bennion Park,Taylorsville,84129,2,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.64829497000005,-111.96816080299999",No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.64829497000005,-111.96816080299999,Giant bowl-shaped field where you could run your dog. Thought it’s not fenced or technically an off leash area.,No,No,Yes
Berry Hill Park,Cottonwood Heights,84121,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.629607804000045,-111.81641831199994",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,40.629607804000045,-111.81641831199994,A bowl like park good for throwing frisbees or a picnic. A few benches at the top and a frisbee golf target.,No,No,No
Bicentennial Park,Sandy,84070,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.59371668500006,-111.87684887299997",Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,40.59371668500006,-111.87684887299997,2 softball diamonds. Connected to the Sandy rec center. BYO volleyball net. Community garden just behind the east baseball diamond.,No,Yes,Yes
Bicentennial Park,West Jordan,84084,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.62437600000004,-111.94175699999994",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.62437600000004,-111.94175699999994,,No,No,Yes
Bickley Park,South Salt Lake,84106,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.71566943300007,-111.87693295599996",Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,40.71566943300007,-111.87693295599996,"This park rules. It has a mister, cornhole, table tennis, seesaws, xylophone, drums, and a big grassy area for play.",No,No,Yes
Big Bear Park,White City,84094,5,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.57546270600005,-111.86559640299998",Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,40.57546270600005,-111.86559640299998,"4 soccer fields and 2 baseball diamonds. Great kids area: astroturf, a wild net feature to climb, and a zip line! BYO volleyball net.",No,Yes,Yes
Big Bend Park,Herriman,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52711312800005,-112.02839583199994",No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,40.52711312800005,-112.02839583199994,A trio of amenities including a Gaga (?) Ball pit ,No,No,Yes
Big Cottonwood Park – Creekside Area,Holladay,84117,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.667026219000036,-111.84656525899999",Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,40.667026219000036,-111.84656525899999,This has to be the most incredible disc golf course in the county (even a thoughtful mid-course port-o-potty) that follows a flowing river. This is where I learned a Utahn invented the frisbee? There's also beach volleyball and a pavilion that looks like ,No,No,Yes
Big Cottonwood Park – Holladay Lions Area,Millcreek,84117,5,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.66887559200006,-111.84792848099994",Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.66887559200006,-111.84792848099994,"What a stunning, natural retreat between two major highways. Also featuring: horses to pet, a fox sanctuary, and some beekeeping. These trails are stunning for a jog or walking the dog. The kids play area has been taken down, I wonder if a new one will ar",No,No,Yes
Big Cottonwood Regional Park - Big Cottonwood Area,Millcreek,84117,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.67640031600007,-111.85417516899997",Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,40.67640031600007,-111.85417516899997,"Enormous park. Shuffleboard! Horseshoes! BYO volleyball net. So much field space for play. Great running path. Not sure the softball complex is publicly accessible, you might have to reserve it. There is one free baseball diamond though. I like how many l",No,No,Yes
Big Cottonwood Regional Park - Hillview Area,Millcreek,84124,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.68031306800003,-111.86545322799998",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.68031306800003,-111.86545322799998,"Lovely open space, but no public access. Just views and horses.",No,No,No
Bingham Creek,South Jordan,84009,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.56627327100006,-112.005546832",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,40.56627327100006,-112.005546832,Huge open space. Potential growth. ,No,No,Yes
Bingham Junction Park,Midvale,84047,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.62663142900004,-111.91716515299998",Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,40.62663142900004,-111.91716515299998,Beautiful mountain views and a short little running path.,No,Yes,Yes
Blackpowder Park ,Herriman,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.529033337000044,-111.99963989899999",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.529033337000044,-111.99963989899999,,No,No,No
Blaine Preserve ,Salt Lake City,84105,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.731796717000066,-111.84755737899997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.731796717000066,-111.84755737899997,"A cute little stream but ultimately, less offered here than at Miller Bird Refuge. Though it’s right next door to Christmas Street!",No,No,No
